project	toggle	date
gitlab	vulnerability_archive_exports	
gitlab	targeted_message_namespaces	
gitlab	packages_debian_project_component_files	
gitlab	boards_epic_board_labels	
gitlab	projects_sync_events	
gitlab	packages_conan_package_revisions	
gitlab	dependency_list_exports	
gitlab	sbom_component_versions	
gitlab	vulnerability_export_parts	
gitlab	lfs_objects	
gitlab	customer_relations_organizations	
gitlab	oauth_access_grants	
gitlab	abuse_trust_scores	
gitlab	ci_runner_namespaces	
gitlab	csv_issue_imports	
gitlab	dependency_proxy_packages_settings	
gitlab	project_ci_cd_settings	
gitlab	admin_roles	
gitlab	ci_pipeline_chat_data	
gitlab	workspaces_agent_config_versions	
gitlab	project_statistics	
gitlab	approval_merge_request_rule_sources	
gitlab	releases	
gitlab	group_wiki_repository_states	
gitlab	work_item_custom_status_mappings	
gitlab	bulk_imports	
gitlab	subscription_add_on_purchases	
gitlab	scim_identities	
gitlab	alert_management_http_integrations	
gitlab	analytics_cycle_analytics_stage_event_hashes	
gitlab	boards_epic_user_preferences	
gitlab	note_diff_files	
gitlab	backup_vulnerability_state_transitions	
gitlab	p_ci_workloads	
gitlab	user_admin_roles	
gitlab	dependency_list_export_parts	
gitlab	approver_groups	
gitlab	namespace_details	
gitlab	ci_build_report_results	
gitlab	user_broadcast_message_dismissals	
gitlab	value_stream_dashboard_aggregations	
gitlab	members_deletion_schedules	
gitlab	work_item_type_custom_fields	
gitlab	packages_composer_packages	
gitlab	instance_model_selection_feature_settings	
gitlab	non_sql_service_pings	
gitlab	user_uploads	
gitlab	ai_feature_settings	
gitlab	project_import_export_relation_export_upload_uploads	
gitlab	p_ci_job_artifact_reports	
gitlab	organization_push_rules	
gitlab	vulnerability_historical_statistics	
gitlab	project_build_artifacts_size_refreshes	
gitlab	merge_request_cleanup_schedules	
gitlab	x509_commit_signatures	
gitlab	appearances	
gitlab	work_item_transitions	
gitlab	events	
gitlab	zentao_tracker_data	
gitlab	dependency_proxy_image_ttl_group_policies	
gitlab	ci_unit_tests	
gitlab	protected_branches	
gitlab	backup_findings	
gitlab	backup_vulnerability_merge_request_links	
gitlab	ai_agents	
gitlab	clusters_kubernetes_namespaces	
gitlab	personal_access_token_granular_scopes	
gitlab	security_pipeline_execution_project_schedules	
gitlab	organization_user_details	
gitlab	observability_metrics_issues_connections	
gitlab	namespace_deletion_schedules	
gitlab	p_catalog_resource_sync_events	
gitlab	project_compliance_violations	
gitlab	organizations	
gitlab	arkose_sessions	
gitlab	gpg_keys	
gitlab	security_project_tracked_contexts	
gitlab	catalog_resource_components	
gitlab	group_features	
gitlab	merge_requests_merge_data	
gitlab	incident_management_pending_issue_escalations	
gitlab	packages_npm_metadata_caches	
gitlab	vulnerability_reads	
gitlab	project_pages_metadata	
gitlab	import_export_upload_uploads	
gitlab	project_daily_statistics	
gitlab	zoekt_replicas	
gitlab	projects_branch_rules_merge_request_approval_settings	
gitlab	milestones	
gitlab	board_labels	
gitlab	vulnerability_export_part_uploads	
gitlab	virtual_registries_packages_maven_upstreams	
gitlab	users_statistics	
gitlab	work_item_parent_links	
gitlab	slack_integrations_scopes	
gitlab	project_to_security_attributes	
gitlab	namespace_ci_cd_settings	
gitlab	notes_archived	
gitlab	approval_group_rules_users	
